Date,Opponent,Won,Forfeited,Overworld,Nether Nav,Bastion,Fortress,Blind,Stronghold,End,Total,Seed,Bastion Type,Deaths,Resets
2026-01-27 10:34:11,LolBlazo,False,True,,,,,,,,0:21:05,DESERT_TEMPLE,HOUSING,1,1
2026-01-27 09:26:43,Shroomie_Matsuo,True,False,0:04:46,0:00:49,0:06:13,0:02:00,0:04:19,0:01:47,0:10:35,0:30:43,VILLAGE,HOUSING,0,0
2026-01-25 09:50:21,SpiweSeven,True,False,0:04:55,0:01:20,0:08:33,0:04:42,0:04:56,0:02:30,0:01:12,0:28:22,VILLAGE,HOUSING,0,0
2026-01-25 09:20:16,SweetGrapeee,True,True,0:05:17,0:04:59,,,,,,0:15:02,VILLAGE,BRIDGE,1,0
2026-01-25 09:01:06,anomamorph,True,False,0:04:52,0:01:15,0:08:01,0:02:11,0:03:44,0:00:37,0:01:37,0:22:30,VILLAGE,BRIDGE,0,0
2026-01-25 08:36:52,cashdrop_,False,False,0:04:17,0:00:53,0:08:16,0:02:14,0:02:41,0:00:47,,0:22:36,DESERT_TEMPLE,STABLES,0,0
2026-01-25 08:12:01,leothepickle,True,False,0:04:20,0:01:17,0:05:12,0:02:17,0:08:10,0:04:35,0:01:16,0:31:48,VILLAGE,STABLES,0,2
2026-01-25 07:39:03,NekoTrack,True,False,0:04:28,0:00:20,0:10:53,0:02:55,0:05:15,0:02:24,0:06:12,0:32:40,VILLAGE,STABLES,2,0
2026-01-25 06:35:12,Xandolf_,True,False,0:04:36,0:00:13,0:08:28,0:01:50,0:03:25,0:02:32,0:02:04,0:30:13,VILLAGE,STABLES,0,1
2026-01-23 17:17:17,Cristunal,False,False,0:03:48,0:01:53,0:07:14,0:04:53,,,,0:24:14,SHIPWRECK,TREASURE,0,1
2026-01-23 16:50:16,kunnnefe,False,True,0:04:57,0:01:46,,,,,,0:28:22,DESERT_TEMPLE,BRIDGE,4,1
2026-01-23 16:17:56,WombatsFly,True,True,0:06:04,0:02:07,0:05:25,0:04:05,,,,0:18:18,VILLAGE,HOUSING,0,0
2026-01-23 15:52:33,Bubi77,False,False,0:04:36,0:02:42,0:06:35,0:07:19,0:02:49,0:09:06,,0:33:11,RUINED_PORTAL,HOUSING,0,0
2026-01-23 15:12:16,umaifishy,True,False,0:04:49,0:01:17,0:08:16,0:04:08,0:18:26,0:01:55,0:01:24,0:40:28,DESERT_TEMPLE,HOUSING,0,0
2026-01-23 13:03:15,_Resh,True,False,0:04:11,0:01:40,0:11:16,0:07:53,0:11:01,0:02:01,0:02:38,0:40:54,SHIPWRECK,HOUSING,1,0
2026-01-18 08:26:06,Cold_Piano,False,False,0:05:55,0:00:29,0:06:30,0:02:51,0:05:09,0:07:42,,0:28:54,DESERT_TEMPLE,HOUSING,0,0
2026-01-18 07:34:56,13Odysseus,False,True,0:06:04,0:00:33,0:06:31,0:01:47,0:13:31,,,0:33:34,SHIPWRECK,BRIDGE,0,0
2026-01-18 06:58:32,asphaltdream,True,False,0:04:38,0:01:30,0:06:59,0:05:04,0:04:22,0:03:15,0:02:54,0:28:53,VILLAGE,HOUSING,0,0
2026-01-18 05:59:15,zSPC,True,True,0:04:34,0:01:48,0:08:11,0:03:49,,,,0:23:40,VILLAGE,STABLES,0,0
2026-01-18 05:30:03,09Dragon_Heart,True,False,0:06:34,0:02:21,0:08:41,0:03:35,0:03:27,0:02:36,0:01:41,0:29:07,SHIPWRECK,TREASURE,0,0
